source,destination,weight,specificyear
Hymenoptera,Weld,1,
Hymenoptera,Weld,1,1921
Hymenoptera,Wheeler,1,1937
Hymenoptera,Wheeler & Mann,2,
Hymenoptera,Wheeler & Mann,2,1914
Lepidoptera,Aaron,2,1884
Lepidoptera,Bell,4,
Lepidoptera,Blake,1,
Lepidoptera,Blake,1,1863
Lepidoptera,Blake,1,1865
Lepidoptera,Braun,1,1948
Lepidoptera,Braun,3,1963
Lepidoptera,Braun,1,1972
Lepidoptera,Brower,1,1941
Lepidoptera,Bruce,1,1901
Lepidoptera,Cadbury,1,1931
Lepidoptera,Cadbury,1,1937
Lepidoptera,Cary,1,
Lepidoptera,Chambers,2,1872
Lepidoptera,Clemens,36,1859
Lepidoptera,Clemens,125,1860
Lepidoptera,Clemens,1,1861
Lepidoptera,Clemens,9,1862
Lepidoptera,Clemens,34,1863
Lepidoptera,Clemens,48,1864
Lepidoptera,Clemens,26,1865
Lepidoptera,Coxey,1,
Lepidoptera,Darlington,4,1949
Lepidoptera,Edwards,1,
Lepidoptera,Edwards,1,1875
Lepidoptera,Edwards,1,1881
Lepidoptera,"Edwards, W.H.",1,1877
Lepidoptera,Fernald,1,
Lepidoptera,Fernald,1,1879
Lepidoptera,Fernald,1,1894
Lepidoptera,Fernald,1,1898
Lepidoptera,Fox,1,
Lepidoptera,Fox,4,1941
Lepidoptera,Grossbeck,6,1908
Lepidoptera,Grote,1,
Lepidoptera,Grote,1,1862
Lepidoptera,Grote,13,1863
Lepidoptera,Grote,29,1864
Lepidoptera,Grote,31,1865
Lepidoptera,Grote,6,1866
Lepidoptera,Grote,7,1867
Lepidoptera,Grote,2,1871
Lepidoptera,Grote,32,1872
Lepidoptera,Grote,6,1873
Lepidoptera,Grote & Robinson,5,1865
Lepidoptera,Grote & Robinson,9,1866
Lepidoptera,Grote & Robinson,17,1867
Lepidoptera,Grote & Robinson,17,1868
Lepidoptera,Grote & Robinson,8,1870
Lepidoptera,Gunder,2,1927
Lepidoptera,Gundlach,1,1866
Lepidoptera,Gundlach,1,1881
Lepidoptera,Haimbach,2,1907
Lepidoptera,Haimbach,5,1908
Lepidoptera,Haimbach,8,1915
Lepidoptera,Haimbach,5,1928
Lepidoptera,Haimbach,1,1930
Lepidoptera,Hayward,6,1941
Lepidoptera,Herrich-SchÃ¤ffer,1,1857
Lepidoptera,Herrich-SchÃ¤ffer,8,1862
Lepidoptera,Herrich-SchÃ¤ffer,5,1863
Lepidoptera,Herrich-SchÃ¤ffer,4,1864
Lepidoptera,Herrich-SchÃ¤ffer,9,1865
Lepidoptera,"Herrich-SchÃ¤ffer, G.A.W.",1,1862
Lepidoptera,Jones,1,1908
Lepidoptera,Jones,1,1926
Lepidoptera,Kearfott,1,1903
Lepidoptera,Klots,1,1929
Lepidoptera,Laurent,1,1892
Lepidoptera,Mengel,2,1916
Lepidoptera,Mengel,1,1919
Lepidoptera,Newcomb,1,1901
Lepidoptera,Packard,6,1864
Lepidoptera,Packard,1,1876
Lepidoptera,Pavulaan & Wright,1,2005
Lepidoptera,Poey,11,1832
Lepidoptera,Poey,1,1846
Lepidoptera,Poey,7,1851
Lepidoptera,Poey,1,1853
Lepidoptera,Ramsden,1,
Lepidoptera,Ramsden,1,1914
Lepidoptera,Ramsden,1,1915
Lepidoptera,Ramsden,1,1921
Lepidoptera,Reakirt,3,1866
Lepidoptera,Richards,2,1943
Lepidoptera,Robinson,43,1869
Lepidoptera,Robinson,2,1870
Lepidoptera,"Say, Thomas",1,1828
Lepidoptera,Scudder,2,1872
Lepidoptera,Skinner,3,1889
Lepidoptera,Skinner,2,1890
Lepidoptera,Skinner,1,1891
Lepidoptera,Skinner,4,1892
Lepidoptera,Skinner,2,1893
Lepidoptera,Skinner,1,1894
Lepidoptera,Skinner,5,1895
Lepidoptera,Skinner,2,1896
Lepidoptera,Skinner,6,1897
Lepidoptera,Skinner,3,1899
Lepidoptera,Skinner,6,1902
Lepidoptera,Skinner,3,1903
Lepidoptera,Skinner,1,1904
Lepidoptera,Skinner,4,1905
Lepidoptera,Skinner,3,1906
Lepidoptera,Skinner,1,1907
Lepidoptera,Skinner,1,1908
Lepidoptera,Skinner,13,1911
Lepidoptera,Skinner,2,1912
Lepidoptera,Skinner,3,1913
Lepidoptera,Skinner,2,1914
Lepidoptera,Skinner,1,1916
Lepidoptera,Skinner,6,1917
Lepidoptera,Skinner,1,1918
Lepidoptera,Skinner,2,1919
Lepidoptera,Skinner,13,1920
Lepidoptera,Skinner,3,1921
Lepidoptera,Skinner,1,1923
Lepidoptera,Skinner & Aaron,1,1889
Lepidoptera,Skinner & Mengel,3,1892
Lepidoptera,Skinner & Ramsden,1,1923
Lepidoptera,Skinner & Williams,1,1923
Lepidoptera,Strecker,1,1872
Lepidoptera,Walsingham,3,1882
Lepidoptera,Williams,3,1914
Lepidoptera,Williams,9,1926
Lepidoptera,Williams,7,1927
Lepidoptera,Williams,2,1931
Lepidoptera,Williams,1,1933
Lepidoptera,Williams & Bell,8,1931
Lepidoptera,Williams & Bell,4,1939
Lepidoptera,Wright & Pavulaan,1,1999
Mantodea,Chopard,6,
Mantodea,Giglio-Tos,1,1927
Mantodea,Hebard,2,1919
Mantodea,Hebard,12,1920
Mantodea,Hebard,4,1922
Mantodea,Hebard,1,1924
Mantodea,Hebard,1,1931
Mantodea,Hebard,1,1935
Mantodea,Rehn,2,
Mantodea,Rehn,1,1900
Mantodea,Rehn,7,1901
Mantodea,Rehn,4,1904
Mantodea,Rehn,1,1906
Mantodea,Rehn,3,1907
Mantodea,Rehn,3,1911
Mantodea,Rehn,2,1912
Mantodea,Rehn,3,1913
Mantodea,Rehn,2,1916
Mantodea,Rehn,2,1918
Mantodea,Rehn,3,1920
Mantodea,Rehn,7,1935
Mantodea,Rehn,1,1941
Mantodea,Rehn,7,1949
Mantodea,Rehn,3,1951
Mantodea,Rehn & Hebard,1,1908
Mantodea,Rehn & Hebard,1,1909
Mantodea,Rehn & Hebard,1,1938
Mantodea,Roy,2,
Mantodea,Roy,1,1989
Mantodea,Scudder,1,1869
Mantodea,Scudder,1,1872
Mantodea,Scudder,1,1877
Mantodea,Scudder,5,1896
Mantodea,Terra,1,1982
Mantodea,Tinkham,1,1937
Neuroptera,Banks,14,
Neuroptera,Banks,2,1939
Neuroptera,Rehn,1,
Neuroptera,Rehn,2,1939
Odonata,,1,
Odonata,Calvert,6,
Odonata,Calvert,3,1890
Odonata,Calvert,1,1891
Odonata,Calvert,1,1893
Odonata,Calvert,3,1895
Odonata,Calvert,1,1898
Odonata,Calvert,3,1899
Odonata,Calvert,7,1902
Odonata,Calvert,5,1903
Odonata,Calvert,1,1905
Odonata,Calvert,1,1906
Odonata,Calvert,3,1907
Odonata,Calvert,2,1908
Odonata,Calvert,15,1909
Odonata,Calvert,1,1912
Odonata,Calvert,1,1913
Odonata,Calvert,1,1917
Odonata,Calvert,3,1919
Odonata,Calvert,2,1920
Odonata,Calvert,1,1921
Odonata,Calvert,2,1924
Odonata,Calvert,8,1931
Odonata,Calvert,3,1947
Odonata,Calvert,1,1949
Odonata,DeMarmels,1,1997
Odonata,Fisher,1,
Odonata,Huggins,1,1927
Odonata,Kennedy,1,1918
Odonata,Leach,1,
Odonata,Muttkowski,1,1911
Odonata,Needham,1,
Odonata,Needham,1,1930
Odonata,Walker,1,
Odonata,Walker,1,1912
Odonata,Williamson,1,
Odonata,Williamson,1,1908
Odonata,Williamson,1,1917
Opiliones,Chamberlin,1,
Opiliones,Wood,9,
Orthoptera,Bailey,1,1975
Orthoptera,Bei-Bienko,1,
Orthoptera,Blatchley,2,
Orthoptera,Blatchley,1,1892
Orthoptera,Blatchley,1,1893
Orthoptera,Blatchley,1,1894
Orthoptera,Blatchley,1,1898
Orthoptera,Blatchley,1,1900
Orthoptera,Blatchley,1,1903
Orthoptera,Bolivar,1,
Orthoptera,Bolivar,2,1884
Orthoptera,Bolivar,1,1898
Orthoptera,Bruner,34,
Orthoptera,Bruner,1,1876
Orthoptera,Bruner,1,1884
Orthoptera,Bruner,8,1885
Orthoptera,Bruner,12,1889
Orthoptera,Bruner,12,1890
Orthoptera,Bruner,10,1891
Orthoptera,Bruner,2,1893
Orthoptera,Bruner,1,1894
Orthoptera,Bruner,1,1895
Orthoptera,Bruner,1,1897
Orthoptera,Bruner,1,1899
Orthoptera,Bruner,25,1900
Orthoptera,Bruner,1,1901
Orthoptera,Bruner,2,1903
Orthoptera,Bruner,47,1904
Orthoptera,Bruner,35,1905
Orthoptera,Bruner,22,1906
Orthoptera,Bruner,10,1907
Orthoptera,Bruner,37,1908
Orthoptera,Bruner,23,1910
Orthoptera,Bruner,54,1911
Orthoptera,Bruner,19,1913
Orthoptera,Bruner,49,1915
Orthoptera,Bruner,14,1916
Orthoptera,Bruner,29,1919
Orthoptera,Bruner,3,1920
Orthoptera,Brunner,1,1878
Orthoptera,Brunner,1,1891
Orthoptera,Burmeister,1,1838
Orthoptera,Caudell,1,1907
Orthoptera,Caudell,1,1916
Orthoptera,Chopard,3,1918
Orthoptera,Chopard,2,1961
Orthoptera,Chopard,5,1967
Orthoptera,Chopard,3,1968
Orthoptera,Chopard,2,1969
Orthoptera,Cigliano & Otte,13,2003
Orthoptera,Descamps,1,
Orthoptera,Descamps,3,1971
Orthoptera,Descamps,3,1973
Orthoptera,Descamps,29,1974
Orthoptera,Descamps,4,1975
Orthoptera,Descamps,14,1976
Orthoptera,Descamps,3,1979
Orthoptera,Dodge,2,1876
Orthoptera,Dodge,1,1877
Orthoptera,Eades,1,1961
Orthoptera,Emsley,10,1970
Orthoptera,Emsley & Nickle,3,1969
Orthoptera,Fox,2,1912
Orthoptera,GÃ¼nther,1,
Orthoptera,GÃ¼nther,4,1969
Orthoptera,GÃ¼nther,3,1976
Orthoptera,Grant,8,
Orthoptera,Grant,7,1955
Orthoptera,Grant,7,1956
Orthoptera,Grant,3,1958
Orthoptera,Grant,2,1960
Orthoptera,Grant,8,1964
Orthoptera,Gurney & Eades,1,1961
Orthoptera,Haldeman,2,1850
Orthoptera,Hancock,154,
Orthoptera,Hancock,1,1895
Orthoptera,Hancock,6,1896
Orthoptera,Hancock,2,1898
Orthoptera,Hancock,5,1899
Orthoptera,Hancock,10,1900
Orthoptera,Hancock,19,1902
Orthoptera,Hancock,14,1904
Orthoptera,Hancock,18,1906
Orthoptera,Hancock,14,1907
Orthoptera,Hancock,2,1908
Orthoptera,Hancock,6,1910
Orthoptera,Hancock,24,1912
Orthoptera,Hancock,11,1913
Orthoptera,Hancock,41,1915
Orthoptera,Hancock,1,1918
Orthoptera,Harris,1,1841
Orthoptera,Hebard,35,
Orthoptera,Hebard,1,1908
Orthoptera,Hebard,2,1913
Orthoptera,Hebard,2,1915
Orthoptera,Hebard,1,1916
Orthoptera,Hebard,1,1917
Orthoptera,Hebard,11,1918
Orthoptera,Hebard,13,1919
Orthoptera,Hebard,14,1920
Orthoptera,Hebard,78,1922
Orthoptera,Hebard,73,1923
Orthoptera,Hebard,45,1924
Orthoptera,Hebard,8,1925
Orthoptera,Hebard,5,1926
Orthoptera,Hebard,42,1927
Orthoptera,Hebard,46,1928
Orthoptera,Hebard,4,1929
Orthoptera,Hebard,9,1931
Orthoptera,Hebard,29,1932
Orthoptera,Hebard,14,1933
Orthoptera,Hebard,9,1934
Orthoptera,Hebard,22,1935
Orthoptera,Hebard,18,1936
Orthoptera,Hebard,7,1937
Orthoptera,Hebard,7,1939
Orthoptera,Hebard,3,1941
Orthoptera,Hubbell,1,1929
Orthoptera,Hubbell,2,1932
Orthoptera,Hubbell,14,1936
Orthoptera,Huxley,3,1970
Orthoptera,Jago,8,1971
Orthoptera,Karny,1,1926
Orthoptera,Karny,1,1931
Orthoptera,Kevan,3,1963
Orthoptera,Kevan,1,1965
Orthoptera,Kevan,3,1974
Orthoptera,"Kevan, Akbar & Singh",2,1964
Orthoptera,"Kevan, Singh & Akbar",4,1964
Orthoptera,Liebermann,1,
Orthoptera,Liebermann,1,1965
Orthoptera,Linnaeus,2,1758
Orthoptera,Lugger,1,1898
Orthoptera,McNeill,1,1896
Orthoptera,McNeill,1,1899
Orthoptera,McNeill,1,1901
Orthoptera,Morse,25,
Orthoptera,Morse,1,1893
Orthoptera,Morse,3,1894
Orthoptera,Morse,12,1895
Orthoptera,Morse,1,1896
Orthoptera,Morse,6,1899
Orthoptera,Morse,7,1900
Orthoptera,Morse,9,1901
Orthoptera,Morse,3,1903
Orthoptera,Morse,15,1904
Orthoptera,Morse,2,1905
Orthoptera,Morse,8,1906
Orthoptera,Morse,1,1908
Orthoptera,Morse,1,1909
Orthoptera,Nickle,1,1966
Orthoptera,Nickle,1,1967
Orthoptera,Nickle,2,1984
Orthoptera,Otte,10,1979
Orthoptera,Otte,4,1983
Orthoptera,Otte,12,1984
Orthoptera,Otte,8,1985
Orthoptera,Otte,46,1987
Orthoptera,Otte,10,1988
Orthoptera,Otte,207,1994
Orthoptera,Otte,2,2002
Orthoptera,Otte & Cade,12,1983
Orthoptera,Otte & Cade,22,1984
Orthoptera,Otte & Cohn,5,2002
Orthoptera,Otte & Jago,2,1979
Orthoptera,Otte & Peck,7,1997
Orthoptera,"Otte, Toms & Cade",3,1988
Orthoptera,Packard,1,1881
Orthoptera,"PÃ©rez-Gelabert, Hierro & Otte",10,1998
Orthoptera,"Perez, Dominici, Hierro & Otte",7,1995
Orthoptera,"Perez, Hierro & Otte",1,1997[1998]
Orthoptera,"Perez, Hierro, Dominici & Otte",4,1997[1998]
Orthoptera,"Perez-Gelabert, Hierro & Otte",2,1997[1998]
Orthoptera,Ragge,1,1969
Orthoptera,Rehn,31,
Orthoptera,Rehn,7,1900
Orthoptera,Rehn,9,1901
Orthoptera,Rehn,17,1902
Orthoptera,Rehn,6,1903
Orthoptera,Rehn,19,1904
Orthoptera,Rehn,26,1905
Orthoptera,Rehn,12,1906
Orthoptera,Rehn,22,1907
Orthoptera,Rehn,3,1908
Orthoptera,Rehn,3,1909
Orthoptera,Rehn,2,1910
Orthoptera,Rehn,1,1910[1911]
Orthoptera,Rehn,3,1911
Orthoptera,Rehn,1,1912
Orthoptera,Rehn,21,1913
Orthoptera,Rehn,1,1914
Orthoptera,Rehn,1,1915
Orthoptera,Rehn,6,1916
Orthoptera,Rehn,19,1917
Orthoptera,Rehn,37,1918
Orthoptera,Rehn,7,1919
Orthoptera,Rehn,3,1920
Orthoptera,Rehn,4,1921
Orthoptera,Rehn,1,1923
Orthoptera,Rehn,1,1927
Orthoptera,Rehn,20,1929
Orthoptera,Rehn,4,1930
Orthoptera,Rehn,2,1936
Orthoptera,Rehn,7,1937
Orthoptera,Rehn,6,1938
Orthoptera,Rehn,11,1939
Orthoptera,Rehn,6,1940
Orthoptera,Rehn,6,1941
Orthoptera,Rehn,11,1942
Orthoptera,Rehn,4,1943
Orthoptera,Rehn,13,1944
Orthoptera,Rehn,2,1945
Orthoptera,Rehn,7,1946
Orthoptera,Rehn,2,1947
Orthoptera,Rehn,2,1948
Orthoptera,Rehn,7,1950
Orthoptera,Rehn,5,1951
Orthoptera,Rehn,2,1952
Orthoptera,Rehn,5,1953
Orthoptera,Rehn,6,1955
Orthoptera,Rehn,1,1956
Orthoptera,Rehn,1,1957
Orthoptera,Rehn,1,1958
Orthoptera,Rehn,1,1959
Orthoptera,Rehn & Cockerell,1,1903
Orthoptera,Rehn & Eades,3,1961
Orthoptera,Rehn & Grant,2,1956
Orthoptera,Rehn & Grant,3,1958
Orthoptera,Rehn & Grant,6,1959
Orthoptera,Rehn & Hebard,2,
Orthoptera,Rehn & Hebard,1,1904
Orthoptera,Rehn & Hebard,7,1905
Orthoptera,Rehn & Hebard,3,1906
Orthoptera,Rehn & Hebard,4,1907
Orthoptera,Rehn & Hebard,4,1908
Orthoptera,Rehn & Hebard,9,1909
Orthoptera,Rehn & Hebard,2,1910
Orthoptera,Rehn & Hebard,7,1912
Orthoptera,Rehn & Hebard,22,1914
Orthoptera,Rehn & Hebard,11,1915
Orthoptera,Rehn & Hebard,11,1916
Orthoptera,Rehn & Hebard,3,1918
Orthoptera,Rehn & Hebard,1,1919
Orthoptera,Rehn & Hebard,10,1920
Orthoptera,Rehn & Hebard,2,1938
Orthoptera,Rehn & Randell,1,1962
Orthoptera,Rehn & Rehn,9,1934
Orthoptera,Rehn & Rehn,1,1936
Orthoptera,Rehn & Rehn,4,1939
Orthoptera,Rehn & Rehn,3,1940
Orthoptera,Rehn & Rehn,10,1942
Orthoptera,Rehn & Rehn,1,1943
Orthoptera,Rehn & Rehn,1,1944
Orthoptera,Rehn & Rehn,12,1945
Orthoptera,Rentz,6,1972
Orthoptera,Rentz,1,1973
Orthoptera,Rentz,2,1975
Orthoptera,Rentz,1,1976
Orthoptera,Rentz & Birchim,10,1968
Orthoptera,Rentz & Miller,2,1971
Orthoptera,Rentz & Weissman,1,1973
Orthoptera,Rentz & Weissman,1,1981
Orthoptera,Roberts,11,1937
Orthoptera,Roberts,1,1938
Orthoptera,Roberts,1,1941
Orthoptera,Roberts,3,1942
Orthoptera,Roberts,8,1947
Orthoptera,Roberts,5,1973
Orthoptera,Roberts,5,1975
Orthoptera,Ronderos,1,1976
Orthoptera,Rowell & Carbonell,1,1977
Orthoptera,Saussure,1,1897
Orthoptera,Scudder,7,
Orthoptera,Scudder,4,1861
Orthoptera,Scudder,39,1862
Orthoptera,Scudder,1,1863
Orthoptera,Scudder,49,1869
Orthoptera,Scudder,7,1872
Orthoptera,Scudder,70,1875
Orthoptera,Scudder,37,1876
Orthoptera,Scudder,27,1877
Orthoptera,Scudder,35,1878
Orthoptera,Scudder,1,1879
Orthoptera,Scudder,8,1881
Orthoptera,Scudder,3,1890
Orthoptera,Scudder,22,1892
Orthoptera,Scudder,7,1893
Orthoptera,Scudder,39,1894
Orthoptera,Scudder,10,1896
Orthoptera,Scudder,103,1897
Orthoptera,Scudder,27,1898
Orthoptera,Scudder,61,1899
Orthoptera,Scudder,18,1900
Orthoptera,Scudder,11,1901
Orthoptera,Scudder,22,1902
Orthoptera,Scudder & Cockerell,2,1902
Orthoptera,Serville,1,1831
Orthoptera,Serville,1,1839
Orthoptera,Shane,1,1948
Orthoptera,"Smith, S.I.",1,1868
Orthoptera,Strohecker,1,1939
Orthoptera,Thomas,1,1875
Orthoptera,Tinkham,1,
Orthoptera,Tinkham,2,1939
Orthoptera,Tinkham,4,1944
Orthoptera,Tinkham,4,1956
Orthoptera,Uhler,5,1864
Orthoptera,Uhler,1,1877
Orthoptera,Vignon,1,1930
Orthoptera,Walker,1,1903
Orthoptera,Walker,1,1962
Orthoptera,Walker,2,1967
Orthoptera,Willemse,1,1968
Orthoptera,Willemse,1,1974
Orthoptera,Willemse,3,1977
Phasmatodea,Hebard,1,
Phasmatodea,Hebard,9,1919
Phasmatodea,Hebard,1,1920
Phasmatodea,Hebard,1,1921
Phasmatodea,Hebard,4,1923
Phasmatodea,Hebard,7,1924
Phasmatodea,Hebard,2,1932
Phasmatodea,Hebard,7,1933
Phasmatodea,Hebard,2,1934
Phasmatodea,Hebard,2,1937
Phasmatodea,Moxey,1,1971
Phasmatodea,Putnam,4,
Phasmatodea,Redtenbacker,1,1908
Phasmatodea,Rehn,8,
Phasmatodea,Rehn,1,1902
Phasmatodea,Rehn,8,1904
Phasmatodea,Rehn,2,1905
Phasmatodea,Rehn,2,1906
Phasmatodea,Rehn,2,1907
Phasmatodea,Rehn,1,1909
Phasmatodea,Rehn,4,1911
Phasmatodea,Rehn,1,1913
Phasmatodea,Rehn,1,1918
Phasmatodea,Rehn,2,1920
Phasmatodea,Rehn,1,1933
Phasmatodea,Rehn,1,1938
Phasmatodea,Rehn,6,1947
Phasmatodea,Rehn,1,1953
Phasmatodea,Rehn & Hebard,2,1909
Phasmatodea,Rehn & Hebard,1,1914
Phasmatodea,Rehn & Hebard,5,1938
Phasmatodea,Rehn & Rehn,1,
Phasmatodea,Rehn & Rehn,3,1933
Phasmatodea,Rehn & Rehn,15,1938
Phasmatodea,"Rehn, J.W.H.",1,1937
Phasmatodea,"Rehn, J.W.H.",1,1938
Phasmatodea,"Rehn, J.W.H.",1,1940
Phasmatodea,Scudder,1,1869
Phasmatodea,Scudder,3,1875
Phasmatodea,Scudder,1,1895
Phasmatodea,Scudder,2,1900
Phasmatodea,Scudder,2,1901
Phasmatodea,Scudder,2,1902
Phasmatodea,Scudder,1,1903
Polydesmida,Causey,4,1942
Polydesmida,Causey,4,1950
Pseudoscorpiones,Chamberlin,1,
Psocoptera,Aaron,8,1883
Psocoptera,Aaron,8,1886
Scorpionidea,Wood,1,
Trichoptera,Ross,2,1941
