country,publication_year,COUNT
Andaman Islands,1879,1
Angola,1908,1
Angola,1911,1
Angola,1912,1
Angola,1933,1
Angola,1940,1
Angola,1944,1
Angola,1953,1
Angola,1987,1
Argentina,1878,1
Argentina,1900,24
Argentina,1905,1
Argentina,1906,2
Argentina,1911,1
Argentina,1913,19
Argentina,1915,3
Argentina,1918,3
Argentina,1921,8
Argentina,1931,1
Argentina,1939,1
Argentina,1940,1
Argentina,1943,1
Argentina,1961,1
Argentina,1965,1
Australia,1864,1
Australia,1886,3
Australia,1887,4
Australia,1891,5
Australia,1920,1
Australia,1922,5
Australia,1925,2
Australia,1926,1
Australia,1929,1
Australia,1930,1
Australia,1932,1
Australia,1933,1
Australia,1935,1
Australia,1943,9
Australia,1944,1
Australia,1948,2
Australia,1973,1
Australia,1977,1
Austria,1930,4
Austria,1932,1
Bahamas,1905,2
Bahamas,1913,1
Bahamas,1916,1
Bahamas,1921,1
Bahamas,1927,1
Barbados,1905,1
Barbados,1916,1
Barbados,1927,1
Belize,1907,1
Belize,1932,1
Bermuda,1909,1
Bermuda,1911,2
Bermuda,1932,1
Bolivia,1899,1
Bolivia,1903,1
Bolivia,1906,4
Bolivia,1909,4
Bolivia,1913,14
Bolivia,1915,17
Bolivia,1916,6
Bolivia,1919,14
Bolivia,1920,2
Bolivia,1927,1
Bolivia,1928,3
Bolivia,1929,1
Bolivia,1939,1
Bolivia,1942,1
Bolivia,1945,3
Bolivia,1950,1
Bolivia,1955,1
Bolivia,1956,1
Bolivia,1970,1
Bolivia,1971,2
Bolivia,1976,2
Bolivia,1979,1
Bolivia,1997,1
Bonaire,1930,1
Bonin Islands,1988,1
Borneo,1887,2
Borneo,1907,1
Borneo,1920,2
Borneo,1922,5
Borneo,1923,1
Borneo,1938,2
Botswana,1933,1
Brazil,1834,1
Brazil,1840,1
Brazil,1864,1
Brazil,1869,3
Brazil,1875,1
Brazil,1890,1
Brazil,1899,2
Brazil,1900,1
Brazil,1906,6
Brazil,1908,8
Brazil,1909,4
Brazil,1910,22
Brazil,1911,48
Brazil,1913,7
Brazil,1914,1
Brazil,1915,22
Brazil,1916,30
Brazil,1917,19
Brazil,1918,30
Brazil,1919,4
Brazil,1920,8
Brazil,1921,4
Brazil,1926,4
Brazil,1927,2
Brazil,1928,2
Brazil,1928,3
Brazil,1929,2
Brazil,1930,34
Brazil,1932,7
Brazil,1937,5
Brazil,1938,2
Brazil,1939,6
Brazil,1940,1
Brazil,1941,5
Brazil,1942,4
Brazil,1944,1
Brazil,1945,6
Brazil,1946,2
Brazil,1947,2
Brazil,1950,3
Brazil,1955,1
Brazil,1956,2
Brazil,1960,1
Brazil,1964,3
Brazil,1969,5
Brazil,1970,2
Brazil,1973,2
Brazil,1974,1
Brazil,1975,4
Brazil,1976,6
Brazil,1929,1
British West Indies,1979,1
Brunei,1889,1
Brunei,1906,2
Brunei,1920,1
Cambodia,1864,1
Cameroon,1919,1
Cameroon,1910,2
Cameroon,1912,1
Cameroon,1919,3
Cameroon,1930,1
Cameroon,1931,1
Cameroon,1937,2
Cameroon,1939,4
Cameroon,1942,1
Cameroon,1944,1
Cameroon,1945,3
Cameroon,1958,1
Cameroon,1970,2
Canada,1862,2
Canada,1863,4
Canada,1864,19
Canada,1865,2
Canada,1867,18
Canada,1868,26
Canada,1869,11
Canada,1870,12
Canada,1871,2
Canada,1872,4
Canada,1872,1
Canada,1873,2
Canada,1875,4
Canada,1876,1
Canada,1877,21
Canada,1878,7
Canada,1878,15
Canada,1879,5
Canada,1880,5
Canada,1885,2
Canada,1887,1
Canada,1889,1
Canada,1890,2
Canada,1891,1
Canada,1892,2
Canada,1893,2
Canada,1895,4
Canada,1896,5
Canada,1897,9
Canada,1897,9
Canada,1898,1
Canada,1903,1
Canada,1904,9
Canada,1905,3
Canada,1906,1
Canada,1911,1
Canada,1913,2
Canada,1914,3
Canada,1915,1
Canada,1916,1
Canada,1917,1
Canada,1918,2
Canada,1919,2
Canada,1920,3
Canada,1921,1
Canada,1924,1
Canada,1925,1
Canada,1928,2
Canada,1930,1
Canada,1931,1
Canada,1937,2
Canada,1938,1
Canada,1939,1
Canada,1943,3
Canada,1944,3
Canada,1950,1
Canada,1984,1
Caroline Islands,1945,1
Central African Republic,1975,1
Chile,1864,1
Chile,1933,3
Chile,1942,2
Chile,1943,1
China,1869,1
China,1930,1
China,1937,2
China,1939,1
China,1944,4
China,1956,4
Colombia,1869,1
Colombia,1875,2
Colombia,1899,1
Colombia,1908,1
Colombia,1911,1
Colombia,1913,1
Colombia,1915,2
Colombia,1916,4
Colombia,1919,26
Colombia,1920,2
Colombia,1921,17
Colombia,1922,2
Colombia,1923,47
Colombia,1925,5
Colombia,1927,28
Colombia,1928,17
Colombia,1930,5
Colombia,1933,17
Colombia,1937,1
Colombia,1940,1
Colombia,1941,1
Colombia,1946,1
Colombia,1955,1
Colombia,1962,2
Colombia,1967,1
Colombia,1973,1
Colombia,1979,1
Colombia,1980,1
Colombia,1982,1
Colombia,1983,1
Colombia,1987,7
Comoro Islands,1959,1
Congo,1919,1
Congo,1929,1
Congo,1936,1
Congo,1937,1
Congo,1939,1
Congo,1943,1
Congo,1947,1
Congo,1949,4
Congo,1953,2
Costa Rica,1869,1
Costa Rica,1878,3
Costa Rica,1879,1
Costa Rica,1897,1
Costa Rica,1903,1
Costa Rica,1904,7
Costa Rica,1905,27
Costa Rica,1906,1
Costa Rica,1907,4
Costa Rica,1908,16
Costa Rica,1909,1
Costa Rica,1912,5
Costa Rica,1914,44
Costa Rica,1916,8
Costa Rica,1917,4
Costa Rica,1918,29
Costa Rica,1919,1
Costa Rica,1920,6
Costa Rica,1921,4
Costa Rica,1923,2
Costa Rica,1924,2
Costa Rica,1927,1
Costa Rica,1928,13
Costa Rica,1929,12
Costa Rica,1930,4
Costa Rica,1931,6
Costa Rica,1933,1
Costa Rica,1934,3
Costa Rica,1935,4
Costa Rica,1939,12
Costa Rica,1941,3
Costa Rica,1942,3
Costa Rica,1944,2
Costa Rica,1946,2
Costa Rica,1947,5
Costa Rica,1951,1
Costa Rica,1955,2
Costa Rica,1966,1
Costa Rica,1969,1
Costa Rica,1970,1
Costa Rica,1971,1
Costa Rica,1973,5
Costa Rica,1974,1
Costa Rica,1975,2
Costa Rica,1976,3
Costa Rica,1977,1
Costa Rica,1984,2
Croatia,1930,1
Cuba,1832,10
Cuba,1846,1
Cuba,1851,7
Cuba,1853,1
Cuba,1862,3
Cuba,1863,6
Cuba,1865,180
Cuba,1866,7
Cuba,1867,8
Cuba,1869,4
Cuba,1871,1
Cuba,1875,2
Cuba,1878,3
Cuba,1881,1
Cuba,1894,1
Cuba,1903,1
Cuba,1907,1
Cuba,1912,2
Cuba,1913,1
Cuba,1914,1
Cuba,1915,1
Cuba,1920,1
Cuba,1921,1
Cuba,1922,5
Cuba,1923,1
Cuba,1924,1
Cuba,1925,1
Cuba,1927,12
Cuba,1928,1
Cuba,1930,3
Cuba,1932,1
Cuba,1937,2
Cuba,1938,1
Cuba,1942,3
Cuba,1998,2
Dominica,1938,1
Dominican Republic,1920,2
Dominican Republic,1927,2
Dominican Republic,1936,1
Dominican Republic,1938,1
Dominican Republic,1947,2
Dominican Republic,1979,1
Dominican Republic,1995,7
Dominican Republic,1997,7
Dominican Republic,1998,5
Ecuador,1869,15
Ecuador,1907,3
Ecuador,1909,3
Ecuador,1913,1
Ecuador,1918,1
Ecuador,1920,2
Ecuador,1924,46
Ecuador,1926,2
Ecuador,1927,1
Ecuador,1928,1
Ecuador,1931,2
Ecuador,1933,1
Ecuador,1940,1
Ecuador,1941,6
Ecuador,1956,1
Ecuador,1970,2
Ecuador,1982,1
Ecuador,2003,1
Egypt,1913,1
Egypt,1925,1
Egypt,1929,1
Egypt,1946,1
Ethiopia,1901,1
Fiji Islands,1948,1
Fiji Islands,1988,2
French Guiana,1918,3
French Guiana,1919,6
French Guiana,1920,1
French Guiana,1926,49
French Guiana,1933,1
Gabon,1855,1
Gabon,1858,3
Galapagos Islands,1893,6
Galapagos Islands,1997,7
Germany,1929,1
Germany,1932,3
Ghana,1937,1
Greenland,1877,1
Greenland,1892,6
Greenland,1918,1
Greenland,1920,5
Greenland,1930,1
Guatemala,1871,1
Guatemala,1875,1
Guatemala,1878,1
Guatemala,1884,1
Guatemala,1904,1
Guatemala,1906,2
Guatemala,1908,3
Guatemala,1917,1
Guatemala,1919,1
Guatemala,1922,1
Guatemala,1930,1
Guatemala,1932,1
Guatemala,1934,1
Guatemala,1935,1
Guatemala,1938,1
Guatemala,1964,1
Guatemala,1969,1
Guiana,1899,2
Guiana,1903,4
Guiana,1904,1
Guiana,1906,6
Guiana,1912,2
Guiana,1917,1
Guiana,1918,1
Guiana,1921,3
Guiana,1925,1
Guiana,1926,4
Guiana,1928,4
Guiana,1929,2
Guiana,1930,1
Guiana,1931,4
Guiana,1934,1
Guiana,1938,1
Guiana,1939,1
Guiana,1942,4
Guiana,1946,1
Guiana,1947,2
Guiana,1949,1
Guiana,1970,1
Guyana,"",2
Guyana,1899,1
Guyana,1906,1
Guyana,1908,2
Guyana,1930,1
Guyana,1931,4
Guyana,1966,1
Haiti,1889,1
Haiti,1893,1
Haiti,1914,2
Haiti,1920,1
Haiti,1927,3
Haiti,1930,2
Haiti,1932,1
Haiti,1936,1
Haiti,1947,1
Haiti,1971,1
Haiti,1998,3
Honduras,1909,1
Honduras,1920,1
Honduras,1926,3
Honduras,1930,3
Honduras,1931,1
Honduras,1932,1
Honduras,1934,3
Honduras,1938,2
Honduras,1944,1
Honduras,1945,2
Honduras,1955,1
Honduras,1971,1
India,1869,1
India,1890,1
India,1907,2
India,1912,21
India,1913,2
India,1915,30
India,1917,1
India,1923,9
India,1929,3
India,1934,2
India,1944,1
India,1962,1
India,1963,1
India,1967,4
India,1968,1
India,1969,2
Indonesia,1898,1
Indonesia,1902,1
Indonesia,1907,1
Indonesia,1910,1
Indonesia,1912,1
Indonesia,1915,1
Indonesia,1946,2
Indonesia,1950,1
Jamaica,1758,1
Jamaica,1891,8
Jamaica,1902,2
Jamaica,1903,1
Jamaica,1915,2
Jamaica,1916,3
Jamaica,1917,1
Jamaica,1920,1
Jamaica,1927,19
Jamaica,1928,2
Jamaica,1930,1
Jamaica,1932,1
Jamaica,1938,6
Jamaica,1947,2
Jamaica,2005,2
Japan,1898,1
Japan,1902,2
Japan,1904,1
Japan,1924,1
Japan,1941,1
Japan,1961,2
Java,1891,1
Java,1929,4
Java,1933,1
Java,1939,1
Java,1963,1
Java,1988,1
Kenya,1896,1
Kenya,1901,1
Kenya,1911,3
Kenya,1939,1
Kenya,1942,1
Kenya,1947,1
Kenya,1952,1
Kenya,1983,4
Kenya,1984,5
Kenya,1985,4
Kenya,1987,2
Kenya,1988,2
South Korea,1971,2
Liberia,1937,1
Liberia,1949,1
Liberia,1970,1
Madagascar,1890,1
Madagascar,1900,6
Madagascar,1925,1
Madagascar,1927,7
Madagascar,1929,8
Madagascar,1937,4
Madagascar,1940,22
Madagascar,1942,14
Madagascar,1944,2
Madagascar,1945,4
Madagascar,1957,2
Madagascar,1964,2
Madagascar,1965,1
Madagascar,1989,1
Malawi,1984,1
Malawi,1987,10
Malawi,1988,2
Malaysia,1904,2
Malaysia,1907,5
Malaysia,1912,1
Malaysia,1913,9
Malaysia,1920,1
Malaysia,1922,14
Malaysia,1929,3
Malaysia,1939,1
Mali,1984,1
Marquesas Islands,1933,1
Marquesas Islands,1935,1
Martinique,1920,1
Mexico,1831,1
Mexico,1846,1
Mexico,1860,1
Mexico,1862,1
Mexico,1863,1
Mexico,1866,2
Mexico,1867,7
Mexico,1868,84
Mexico,1869,31
Mexico,1871,29
Mexico,1872,34
Mexico,1872,2
Mexico,1873,190
Mexico,1873,21
Mexico,1875,1
Mexico,1876,5
Mexico,1877,1
Mexico,1878,80
Mexico,1879,8
Mexico,1880,3
Mexico,1881,1
Mexico,1881,3
Mexico,1889,2
Mexico,1890,2
Mexico,1894,6
Mexico,1895,1
Mexico,1896,5
Mexico,1897,28
Mexico,1898,2
Mexico,1899,13
Mexico,1900,17
Mexico,1901,8
Mexico,1902,18
Mexico,1903,2
Mexico,1904,32
Mexico,1905,16
Mexico,1906,15
Mexico,1907,6
Mexico,1908,15
Mexico,1909,1
Mexico,1912,4
Mexico,1913,1
Mexico,1914,5
Mexico,1915,2
Mexico,1916,1
Mexico,1917,5
Mexico,1919,3
Mexico,1920,2
Mexico,1921,3
Mexico,1922,3
Mexico,1923,10
Mexico,1924,1
Mexico,1925,6
Mexico,1928,1
Mexico,1930,7
Mexico,1931,8
Mexico,1932,27
Mexico,1933,1
Mexico,1934,5
Mexico,1935,2
Mexico,1936,1
Mexico,1937,1
Mexico,1938,2
Mexico,1939,3
Mexico,1941,7
Mexico,1942,3
Mexico,1944,1
Mexico,1947,7
Mexico,1948,1
Mexico,1955,1
Mexico,1959,2
Mexico,1961,1
Mexico,1964,3
Mexico,1971,3
Mexico,1972,2
Mexico,1973,1
Mexico,1975,1
Mexico,1979,6
Mexico,1984,7
Mexico,2002,5
Mexico,2003,13
Moluccas,1889,1
Moluccas,1904,5
Moluccas,1920,1
Moluccas,1922,9
Moluccas,1926,1
Morocco,1938,1
Mozambique,1931,1
Mozambique,1945,1
Mozambique,1988,1
Myanmar,1915,6
Myanmar,1917,1
Myanmar,1923,1
Myanmar,1941,1
Myanmar,1951,1
Myanmar,1961,2
Myanmar,1963,1
Myanmar,1964,1
Myanmar,1967,1
Myanmar,1968,2
Myanmar,1975,1
Namibia,1956,1
New Caledonia,1864,2
New Caledonia,1987,25
New Guinea,1890,1
New Guinea,1906,1
New Guinea,1911,1
New Guinea,1920,1
New Guinea,1922,3
New Guinea,1925,1
New Guinea,1929,4
New Guinea,1944,1
New Guinea,1948,1
New Guinea,1950,1
New Guinea,1951,3
New Guinea,1979,3
New Hebrides,1903,1
New Zealand,1869,1
New Zealand,1875,1
Nicaragua,1878,1
Nicaragua,1895,1
Nicaragua,1899,2
Nicaragua,1900,2
Nicaragua,1902,3
Nicaragua,1904,1
Nicaragua,1907,1
Nicaragua,1923,2
Nicaragua,1924,1
Nicaragua,1927,2
Nicaragua,1928,1
Nicaragua,1933,1
Nigeria,1875,1
Nigeria,1910,1
Nigeria,1953,1
Palau,1988,1
Panama,1879,1
Panama,1904,1
Panama,1907,1
Panama,1916,1
Panama,1919,1
Panama,1920,11
Panama,1921,2
Panama,1923,2
Panama,1924,9
Panama,1927,12
Panama,1928,10
Panama,1929,4
Panama,1933,9
Panama,1946,3
Panama,1947,2
Panama,1951,2
Panama,1955,1
Panama,1958,1
Panama,1962,4
Panama,1970,1
Panama,1971,1
Panama,1973,1
Panama,1976,1
Paraguay,1899,1
Paraguay,1900,1
Paraguay,1905,1
Paraguay,1906,2
Paraguay,1907,14
Paraguay,1911,5
Paraguay,1913,1
Paraguay,1918,1
Paraguay,1926,1
Paraguay,1927,1
Paraguay,1929,1
Paraguay,1937,2
Paraguay,1939,1
Paraguay,1945,1
Peru,1869,10
Peru,1875,32
Peru,1899,1
Peru,1906,8
Peru,1908,1
Peru,1909,1
Peru,1911,1
Peru,1916,1
Peru,1917,2
Peru,1918,2
Peru,1920,1
Peru,1924,1
Peru,1928,3
Peru,1930,1
Peru,1932,4
Peru,1938,1
Peru,1940,1
Peru,1942,3
Peru,1944,2
Peru,1950,2
Peru,1953,1
Peru,1955,4
Peru,1956,2
Peru,1958,3
Peru,1960,12
Peru,1964,2
Peru,1967,2
Peru,1970,1
Peru,1971,3
Peru,1973,2
Peru,1974,2
Peru,1975,1
Peru,1976,5
Peru,1979,4
Peru,1989,1
Peru,1994,1
Philippines,1869,1
Philippines,1915,5
Philippines,1920,4
Philippines,1922,24
Philippines,1923,22
Philippines,1933,2
Philippines,1938,16
Philippines,1940,3
Philippines,1944,1
Philippines,1946,2
Philippines,1948,1
Philippines,1951,1
Philippines,1963,1
Philippines,1968,1
Philippines,1974,29
Philippines,1975,1
Philippines,1977,3
Philippines,1988,1
Puerto Rico,1878,3
Puerto Rico,1880,1
Puerto Rico,1912,1
Puerto Rico,1927,1
Puerto Rico,1932,1
Puerto Rico,1951,2
Senegal,1858,1
Sierra Leone,1949,1
Singapore,"",1
Singapore,1920,1
Singapore,1922,8
Singapore,1929,2
Singapore,1931,1
Somalia,1899,2
Somalia,1901,1
Somalia,1911,1
South Africa,"",2
South Africa,1869,1
South Africa,1886,1
South Africa,1904,3
South Africa,1922,5
South Africa,1931,2
South Africa,1933,1
South Africa,1942,1
South Africa,1944,3
South Africa,1945,1
South Africa,1956,1
South Africa,1965,1
South Africa,1969,1
South Africa,1983,6
South Africa,1984,6
South Africa,1987,7
Sri Lanka (Ceylon),1904,14
Sri Lanka (Ceylon),1907,2
Sri Lanka (Ceylon),1908,1
Sri Lanka (Ceylon),1910,2
Sri Lanka (Ceylon),1915,2
Sri Lanka (Ceylon),1943,1
Sudan,1942,1
Sumatra,1886,1
Sumatra,1893,1
Sumatra,1894,1
Sumatra,1895,1
Sumatra,1897,1
Sumatra,1900,5
Sumatra,1905,1
Sumatra,1909,1
Sumatra,1927,4
Sumatra,1929,13
Sumatra,1941,1
Surinam,"",1
Surinam,1909,2
Surinam,1910,1
Surinam,1913,2
Surinam,1964,2
Switzerland (Suisse),1869,1
Syria,1882,1
Taiwan (Formosa),1925,4
Taiwan (Formosa),1926,1
Taiwan (Formosa),1929,2
Taiwan (Formosa),1931,1
Taiwan (Formosa),1934,1
Taiwan (Formosa),1939,1
Taiwan (Formosa),1943,1
Tanzania,1877,1
Tanzania,1903,1
Tanzania,1945,2
Tanzania,1983,6
Tanzania,1984,9
Tanzania,1985,4
Tanzania,1987,1
Tanzania,1988,1
Thailand [=Siam],1941,1
Thailand [=Siam],1952,1
Thailand [=Siam],1953,1
Thailand [=Siam],1957,1
Thailand [=Siam],1963,1
Thailand [=Siam],1975,1
Tibet,1934,1
Tipula,,8
Trinidad,"",1
Trinidad,1758,1
Trinidad,1896,1
Trinidad,1906,3
Trinidad,1914,1
Trinidad,1916,4
Trinidad,1925,1
Trinidad,1928,2
Trinidad,1929,1
Trinidad,1941,2
Trinidad,1955,1
Trinidad,1970,1
Turkey,1934,1
Uganda,1912,1
Uganda,1932[1933],1
United States,"",45
United States,1828,1
United States,1839,1
United States,1841,1
United States,1845,1
United States,1850,2
United States,1853[1854],2
United States,1859,46
United States,1860,13
United States,1861,9
United States,1862,65
United States,1863,74
United States,1864,362
United States,1865,287
United States,1866,26
United States,1867,160
United States,1867[1868],1
United States,1868,106
United States,1868[1869],5
United States,1869,87
United States,1870,78
United States,1871,39
United States,1872,324
United States,1872[1873],9
United States,1873,43
United States,1874,8
United States,1875,1
United States,1875,51
United States,1875[1876],1
United States,1876,77
United States,1877,80
United States,1878,262
United States,1878[1879],45
United States,1879,122
United States,1880,167
United States,1881,48
United States,1881[1882],15
United States,1882,9
United States,1883,8
United States,1883[1884],1
United States,1884,7
United States,1885,42
United States,1886,29
United States,1886[1887],2
United States,1887,2
United States,1888,4
United States,1889,30
United States,1890,86
United States,1891,20
United States,1892,63
United States,1893,56
United States,1893[1894],21
United States,1894,68
United States,1895,113
United States,1895[1896],7
United States,1896,100
United States,1897,182
United States,1897[1868],2
United States,1897[1898],108
United States,1898,90
United States,1899,127
United States,1900,65
United States,1901,28
United States,1902,80
United States,1902[1903],6
United States,1903,150
United States,1904,144
United States,1905,54
United States,1906,29
United States,1907,41
United States,1908,20
United States,1909,23
United States,1910,8
United States,1910[1911],1
United States,1911,21
United States,1912,18
United States,1913,15
United States,1914,44
United States,1915,38
United States,1916,37
United States,1916[1917],32
United States,1917,70
United States,1918,80
United States,1919,58
United States,1920,39
United States,1921,38
United States,1921[1922],1
United States,1922,12
United States,1923,12
United States,1924,8
United States,1925,8
United States,1926,26
United States,1927,9
United States,1928,6
United States,1929,8
United States,1930,6
United States,1931,8
United States,1932,7
United States,1933,10
United States,1934,27
United States,1935,39
United States,1936,39
United States,1937,17
United States,1938,17
United States,1939,42
United States,1940,42
United States,1941,17
United States,1942,17
United States,1943,21
United States,1944,7
United States,1945,2
United States,1946,4
United States,1947,6
United States,1948,4
United States,1949,8
United States,1950,7
United States,1952,1
United States,1954,26
United States,1956,2
United States,1957,40
United States,1958,4
United States,1959,6
United States,1960,9
United States,1961,7
United States,1962,5
United States,1963,8
United States,1964,4
United States,1965,3
United States,1966,2
United States,1968,10
United States,1971,3
United States,1972,6
United States,1977,1
United States,1979,2
United States,1980,1
United States,1981,1
United States,1983,1
United States,1984,4
United States,1985,1
United States,1986,1
United States,1988,1
United States,1994,207
United States,1999,1
United States,2002,2
United States,2003,2
United States,2005,2
United States,2006,5
United States,MS ?,1
Uruguay,1899,1
USA,1866,1
Venezuela,"",1
Venezuela,1911,1
Venezuela,1918,1
Venezuela,1920,1
Venezuela,1923,1
Venezuela,1926,2
Venezuela,1930,1
Venezuela,1937,9
Venezuela,1940,1
Venezuela,1941,1
Venezuela,1942,1
Venezuela,1943,1
Venezuela,1944,1
Venezuela,1947,2
Venezuela,1950,1
Venezuela,1965,1
Venezuela,1976,2
Vietnam,1906,5
Vietnam,1912,1
Vietnam,1915,1
Vietnam,1920,1
Vietnam,1922,3
Vietnam,1925,1
Vietnam,1929,1
Vietnam,1988,1
West Indies,1899,1
Zambia,1922,1
Zambia,1943,1
Zimbabwe,1937,1